hospital_id,hospital_org_id,ein,name,name_cr,street_address,city,state,zip_code,fips_state_and_county_code,hospital_bed_count,chrch_affl_f,urban_location_f,children_hospital_f,memb_counc_teach_hosps_f,medicare_provider_number,county,hospital_bed_size,updated_dt
1,1,630307951,Mizell Memorial Hospital,Mizell Memorial Hospital,702 Main Street,Opp,AL,36462,01039,99,N,N,N,N,010007,Covington County,<100 beds,"November 20, 2023"
2,2,630578923,St Vincents East,St Vincents East,50 Medical Park Drive East,Birmingham,AL,35235,01073,362,N,Y,N,Y,010011,Jefferson County,>299 beds,"November 20, 2023"
3,3,630312913,Shelby Baptist Medical Center,Shelby Baptist Medical Center,1000 First Street North,Alabaster,AL,35007,01117,252,N,Y,N,N,010016,Shelby County,100-299 beds,"November 20, 2023"
4,4,630459034,Callahan Eye Foundation Hosp,Callahan Eye Foundation Hosp,1720 University Boulevard,Birmingham,AL,35233,01073,106,N,Y,N,Y,010018,Jefferson County,100-299 beds,"November 20, 2023"
5,5,581973570,Cherokee Medical Center,Cherokee Medical Center,400 Northwood Drive,Centre,AL,35960,01019,60,N,N,N,N,010022,Cherokee County,<100 beds,"November 20, 2023"
6,6,636001820,Jackson Hospital And Clinic  Inc,Jackson Hospital And Clinic  Inc,1725 Pine Street,Montgomery,AL,36106,01101,344,N,Y,N,N,010024,Montgomery County,>299 beds,"November 20, 2023"
7,7,630288852,George H Lanier Memorial Hospital,George H Lanier Hospital,4800 48th St,Valley,AL,36854,01017,115,N,N,N,N,010025,Chambers County,100-299 beds,"November 20, 2023"
8,8,475348597,Tanner Medical Center-East Alabama,Tanner Medical Center-East Alabama,1032 Main Street South,Wedowee,AL,36278,01111,15,N,N,N,N,010032,Randolph County,<100 beds,"November 20, 2023"
9,9,630047680,Community Hospital Inc,Community Hospital Inc,805 Friendship Drive,Tallassee,AL,36078,01051,69,N,Y,N,N,010034,Elmore County,<100 beds,"November 20, 2023"
10,10,631058174,Cullman Regional,Cullman Regional,1912 Alabama Highway 157,Cullman,AL,35056,01043,115,N,N,N,N,010035,Cullman County,100-299 beds,"November 20, 2023"
11,11,636000090,Stringfellow Memorial Hospital,Stringfellow Memorial Hospital,301 East 18th Street,Anniston,AL,36207,01015,125,N,Y,N,N,010038,Calhoun County,100-299 beds,"November 20, 2023"
12,12,640926753,Marion Regional Medical Center,Marion Regional Medical Center,1256 Military St South,Hamilton,AL,35570,01093,57,N,N,N,N,010044,Marion County,<100 beds,"November 20, 2023"
13,13,630909073,St Vincents Blount,,150 Gilbreath Drive,Oneonta,AL,35121,01009,40,N,Y,N,N,010050,Blount County,<100 beds,"November 20, 2023"
14,14,630288864,St Vincents Birmingham,St Vincents Birmingham,810 St Vincents Drive,Birmingham,AL,35205,01073,409,N,Y,N,N,010056,Jefferson County,>299 beds,"November 20, 2023"
15,15,630385130,Russell Medical Center,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,01123,81,N,N,N,N,010065,Tallapoosa County,<100 beds,"November 20, 2023"
16,11,636000090,Northeast Alabama Regional Med Ctr,Northeast Alabama Regional Med Ctr,400 East Tenth Street,Anniston,AL,36202,01015,323,N,Y,N,Y,010078,Calhoun County,>299 beds,"November 20, 2023"
17,16,320453405,Northwest Medical Center,Northwest Medical Center,Highway 78 West,Winfield,AL,35594,01093,71,N,N,N,N,010086,Marion County,<100 beds,"November 20, 2023"
18,3,630312913,Walker Baptist Medical Center,Walker Baptist Medical Center,3400 Highway 78 East,Jasper,AL,35502,01127,267,N,Y,N,N,010089,Walker County,100-299 beds,"November 20, 2023"
19,17,630288861,Providence Hospital,Providence Hospital,6801 Airport Blvd,Mobile,AL,36608,01097,349,Y,Y,N,N,010090,Mobile County,>299 beds,"November 20, 2023"
20,18,630891904,Thomas Hospital,Thomas Hospital,750 Morphy Ave,Fairhope,AL,36532,01003,162,N,Y,N,Y,010100,Baldwin County,100-299 beds,"November 20, 2023"
21,3,630312913,Citizens Baptist Medical Center,Citizens Baptist Medical Center,604 Stone Avenue,Talladega,AL,35161,01121,122,N,N,N,N,010101,Talladega County,100-299 beds,"November 20, 2023"
22,3,630312913,Princeton Baptist Medical Center,Princeton Baptist Medical Center,701 Princeton Ave Sw,Birmingham,AL,35211,01073,505,Y,Y,N,N,010103,Jefferson County,>299 beds,"November 20, 2023"
23,19,630920915,Pickens County Medical Center,Pickens County Medical Center,241 Robert K Wilson,Carrollton,AL,35447,01107,56,N,Y,N,Y,010109,Pickens County,<100 beds,"November 20, 2023"
24,20,630288856,Mobile Infirmary Medical Center,Mobile Infirmary Medical Center,Five Mobile Infirmary Circle,Mobile,AL,36652,01097,669,N,Y,N,Y,010113,Mobile County,>299 beds,"November 20, 2023"
